Frame, SubFrame, COPx(mm), COPy(mm)
164,4,-30.838,215.17
165,0,-29.241,214.28
165,1,-29.426,215.82
165,2,-30.41,215.21
165,3,-30.291,214.04
165,4,-31.718,213.39
166,0,-29.231,214.54
166,1,-31.176,215.25
166,2,-30.316,215.09
166,3,-31.343,215.44
166,4,-31.265,215.14
167,0,-29.451,213.27
167,1,-30.426,214.46
167,2,-29.382,214.66
167,3,-31.403,213.86
167,4,-29.322,213.94
168,0,-31.11,213.18
168,1,-29.747,213.77
168,2,-29.568,214.95
168,3,-29.948,213.89
168,4,-30.019,213.17
169,0,-31.051,214.79
169,1,-29.413,214.81
169,2,-29.129,213.29
169,3,-29.514,214.46
169,4,-32.334,214.36
170,0,-30.202,216.26
170,1,-29.928,214.44
170,2,-29.858,213.1
170,3,-29.47,214.35
170,4,-30.771,214.94
171,0,-28.789,215.5
171,1,-30.498,214.76
171,2,-29.627,214.37
171,3,-30.588,213.75
171,4,-30.407,214.73
172,0,-31.016,212.79
172,1,-30.865,214.06
172,2,-30.363,213.28
172,3,-30.958,213.45
172,4,-29.522,213.95
173,0,-31.224,213.37
173,1,-29.775,212.97
173,2,-31.215,213.95
173,3,-29.918,214.23
173,4,-29.488,212.94
174,0,-29.704,213.68
174,1,-28.674,213.99
174,2,-31.277,213.97
174,3,-28.816,213.15
174,4,-30.965,213.11
175,0,-28.801,212.1
175,1,-30.192,213.51
175,2,-29.268,213.36
175,3,-30.173,211.98
175,4,-30.82,212.09
176,0,-29.013,214.44
176,1,-30.32,213.69
176,2,-28.503,213.95
176,3,-31.749,214.2
176,4,-29.792,214.51
177,0,-30.783,213.1
177,1,-29.986,213.94
177,2,-30.159,213.28
177,3,-30.789,213.27
177,4,-30.074,214.06
178,0,-31.894,212.89
178,1,-28.915,214.91
178,2,-30.469,211.32
178,3,-28.584,212.6
178,4,-31.308,212.79
179,0,-31.335,213.75
179,1,-31.136,213.27
179,2,-31.439,212.1
179,3,-29.953,211.49
179,4,-31.674,212.99
180,0,-30.283,214.81
180,1,-31.049,212.81
180,2,-29.181,214.03
180,3,-30.993,212.98
180,4,-30.755,212.7
181,0,-30.074,213.76
181,1,-31.174,212.6
181,2,-29.567,213.35
181,3,-31.412,213
