Frame, SubFrame, COPx(mm), COPy(mm)
178,0,113.76,212.78
178,1,113.57,213.57
178,2,114.7,213.74
178,3,113.96,212.88
178,4,114.56,214.04
179,0,114.53,213.35
179,1,113.16,212.28
179,2,114.32,213.72
179,3,113.02,213.05
179,4,112.88,214.01
180,0,113.73,214.5
180,1,113.75,214.5
180,2,113.34,212.82
180,3,114.12,214.58
180,4,112.82,213.11
181,0,113.39,212.12
181,1,113.52,213.97
181,2,112.55,213.31
181,3,112.93,213.99
181,4,112.97,214.76
182,0,113.04,214.67
182,1,112.51,214.29
182,2,113.08,214.48
182,3,112.05,214.31
182,4,113.31,214.18
183,0,112.18,215.94
183,1,112.58,214.1
183,2,112.9,215.25
183,3,112.65,215.26
183,4,112.43,214.69
184,0,112.25,215.29
184,1,112.84,215.08
184,2,111.49,214.02
184,3,111.77,215.75
184,4,112.1,215.37
185,0,112.19,215.12
185,1,112.33,215.48
185,2,111.71,214.9
185,3,111.01,215.23
185,4,112.15,215.29
186,0,112.42,216.16
186,1,111.39,215.29
186,2,112.24,216.16
186,3,111.81,215.49
186,4,111.83,214.98
187,0,112.05,215.96
187,1,111.16,215.41
187,2,110.68,214.61
187,3,110.76,216.01
187,4,110.47,216.4
188,0,111.19,215.02
188,1,111.37,217.37
188,2,110.97,216.3
188,3,111.04,215.62
188,4,110.8,215.51
189,0,110.71,214.82
189,1,110.57,215.71
189,2,109.85,216.9
189,3,110.66,217
189,4,110.47,215.62
190,0,110.74,217.09
190,1,110.18,216.01
190,2,110.22,215.52
190,3,110.32,216.02
190,4,110.38,215.42
191,0,109.9,215.81
191,1,110.14,216.09
191,2,109.61,217.5
191,3,108.57,216.94
191,4,109.75,217.7
192,0,109.54,216.53
192,1,109.83,216.38
192,2,108.91,216.99
192,3,108.69,216.01
192,4,109.8,216.97
193,0,108.75,216.88
193,1,107.96,217.24
193,2,108.71,216.77
193,3,108.98,219.24
193,4,109.48,216.16
194,0,109.25,217.32
194,1,108.44,217.43
194,2,109.25,217.02
194,3,108.81,217.13
194,4,108.54,217.53
195,0,108.11,216.83
195,1,108.62,217.04
195,2,108.51,218.19
195,3,108.65,216.13
195,4,108.74,217.88
196,0,108.8,217.39
196,1,108.55,217
196,2,107.66,218.56
196,3,108.22,216.32
196,4,107.9,217.8
197,0,108,216.4
197,1,108.16,217.95
197,2,107.48,217.1
197,3,108.47,218.72
197,4,107.09,217.51
198,0,107.07,218.07
198,1,107.09,217.68
198,2,107.66,217.58
198,3,107.3,217.27
198,4,107.29,217.28
199,0,106.24,217.48
199,1,107.1,217.28
199,2,107.44,218.83
199,3,105.82,218.11
199,4,107.06,217.96
200,0,107.31,218.68
200,1,106.98,217.45
200,2,107.17,218.04
200,3,106.76,219.57
200,4,106.37,218.22
201,0,106.74,217.64
201,1,105.93,219.24
201,2,106.06,216.9
201,3,106.79,219.68
201,4,106.35,218.44
202,0,106.46,217.84
202,1,106.19,217.91
202,2,106.04,218.14
202,3,105.85,218.32
202,4,104.8,218.95
203,0,106.4,219.03
203,1,105.34,218.07
203,2,106.27,219.19
203,3,104.93,218.84
203,4,106.43,218.51
204,0,104.75,218.54
204,1,105.97,217.57
204,2,103.94,218.56
204,3,104.94,218.44
204,4,105.02,219.81
205,0,104.69,217.57
205,1,105.04,218.82
205,2,104.9,218.46
205,3,105.15,217.74
205,4,104.74,218.26
206,0,103.93,217.7
206,1,104.71,217.58
206,2,104.48,218.23
206,3,103.91,217.17
206,4,105.17,217.92
207,0,105.16,218.6
207,1,104.12,216.81
207,2,104.79,217.92
207,3,102.92,217.11
207,4,104.41,217.16
208,0,104.46,217.47
208,1,103.92,217.77
208,2,103.63,217.55
208,3,103.7,218.15
208,4,103.18,217.98
209,0,104.06,216.78
209,1,103.55,218.24
209,2,103.18,217.1
209,3,103.85,218.57
209,4,103.4,218.05
210,0,102.98,217.19
210,1,103.57,218.72
210,2,103.32,217.85
210,3,103.86,218.26
210,4,103.45,216.98
211,0,104.07,218.14
211,1,102.68,217.68
211,2,103.82,218.12
211,3,103.6,217.76
211,4,103.4,217.58
212,0,103.41,217.75
212,1,103.22,216.88
212,2,103.02,217.58
212,3,103.04,216.59
212,4,103.4,218.34
213,0,101.8,216.83
213,1,103.43,217.35
213,2,102.58,218.47
213,3,102.59,216.41
213,4,102.63,216.81
214,0,102.53,216.98
214,1,102.02,217.59
214,2,103.64,217.87
214,3,102.59,217.28
214,4,102.45,217.4
215,0,103.32,218.73
215,1,102.56,217.7
215,2,102.33,216.72
215,3,102.72,218.08
215,4,102.84,217.6
216,0,102.51,217.02
216,1,103.01,218.13
216,2,102.67,217.5
216,3,102.64,216.15
216,4,102.89,217.88
217,0,102.18,216.28
217,1,102.85,217.19
217,2,102.39,216.72
217,3,102.63,216.24
217,4,101.81,216.54
218,0,102.95,216.8
218,1,102.69,218.22
218,2,102.92,216.33
218,3,102.97,218.08
218,4,101.87,216.87
219,0,102.88,217.01
219,1,102.32,217.4
219,2,102.24,217.43
219,3,102.79,218.1
219,4,102.6,218.03
220,0,102.08,217.57
220,1,102.58,216.37
220,2,103.59,218.96
220,3,101.87,216.55
220,4,103.58,218.08
221,0,102.31,217.41
221,1,103.25,216.24
221,2,103.31,218.22
221,3,102.83,217.5
221,4,102.33,217.15
222,0,103.11,217
222,1,102.98,217.6
222,2,102.67,216.45
222,3,102.57,217.68
222,4,102.73,216.57
223,0,103.12,216.08
223,1,103.39,216.24
223,2,103.16,216.15
223,3,102.94,216.55
223,4,103.67,216.91
224,0,102.83,216.46
224,1,103.2,216.17
224,2,103.69,217.69
224,3,103.08,216.08
224,4,104.17,216.24
225,0,103.31,216.95
225,1,103.69,216.74
225,2,103.09,217.7
225,3,103.41,217.04
225,4,102.62,216.4
226,0,103.45,216.27
226,1,103.93,217.55
226,2,103.23,215.5
226,3,104.15,216.65
226,4,103.89,217.66
227,0,103.94,215.4
227,1,103.83,215.87
227,2,103.36,216.85
227,3,103.85,215.5
227,4,103.27,216.7
228,0,104.31,216.77
228,1,103.07,214.62
228,2,104.93,217.54
228,3,103.9,216.68
228,4,104.74,214.71
229,0,103.99,215.03
229,1,103.93,215.9
229,2,104.13,215.52
229,3,104.16,216.19
229,4,104.07,215.71
230,0,104.88,215.72
230,1,104.48,216.38
230,2,104.96,216.02
230,3,104.42,215.23
230,4,105.03,215.94
231,0,104.44,215.73
231,1,104.81,215.72
231,2,104.53,216.95
231,3,104.85,217
231,4,105.4,215.03
232,0,105.67,216.87
232,1,104.56,215.15
232,2,105.44,216.2
232,3,105.27,214.73
232,4,105.62,215.12
233,0,104.85,215.12
233,1,105.06,215.93
233,2,105.15,215.36
